id,parameter
FT-BMS-029,LbSOC_BaseTiCor_flg
FT-BMS-029,LbSOC_BaseTiCor_flg
FT-BMS-029,LbSOC_BaseTiCor_flg
FT-BMS-029,LbSOC_DownCurrSta_flg
FT-BMS-029,LbSOC_BaseTiCor_flg
FT-BMS-029,LbSOC_BaseTiCor_flg
FT-BMS-030,LbSOC_BaseTiCor_flg
FT-BMS-030,LbSOC_BaseTiCor_flg
FT-BMS-030,LbSOC_BaseTiCor_flg
FT-BMS-030,LbSOC_DownCurrSta_flg
FT-BMS-030,KuSOC_DeltaDispSOCLim_pct
FT-BMS-030,LbSOC_BaseTiCor_flg
FT-BMS-030,LbSOC_BaseTiCor_flg
FT-BMS-031,LbSOC_BaseTiCor_flg
FT-BMS-031,LbSOC_BaseTiCor_flg
FT-BMS-031,LbSOC_BaseTiCor_flg
FT-BMS-031,LbSOC_DownCurrSta_flg
FT-BMS-031,KuSOC_DeltaDispSOCLim_pct
FT-BMS-031,LbSOC_BaseTiCor_flg
FT-BMS-031,LbSOC_BaseTiCor_flg
FT-BMS-032,LslSOC_BattSysI_A
FT-BMS-032,LslSOC_BattSysI_A
FT-BMS-032,LslSOC_BattSysI_A
FT-BMS-032,LslSOC_BattSysIRaw_A
FT-BMS-032,KslSOC_SysIMax_A
FT-BMS-032,LslSOC_BattSysI_A
FT-BMS-032,LslSOC_BattSysI_A
FT-BMS-032,KslSOC_SysIMax_A
FT-BMS-033,LslSOC_BattSysI_A
FT-BMS-033,LslSOC_BattSysI_A
FT-BMS-033,LslSOC_BattSysI_A
FT-BMS-033,LslSOC_BattSysIRaw_A
FT-BMS-033,KslSOC_SysIMin_A
FT-BMS-033,LslSOC_BattSysI_A
FT-BMS-033,LslSOC_BattSysI_A
FT-BMS-033,KslSOC_SysIMin_A
FT-BMS-034,LlSOC_CmltChgCp_Ah
FT-BMS-034,LlSOC_CmltChgCp_Ah
FT-BMS-034,LlSOC_CmltChgCp_Ah
FT-BMS-034,LlSOC_CmltChgCpRaw_Ah
FT-BMS-034,KlSOC_CmltChgCpMaxLim_Ah
FT-BMS-034,LlSOC_CmltChgCp_Ah
FT-BMS-034,LlSOC_CmltChgCp_Ah
FT-BMS-035,LlSOC_CmltChgCp_Ah
FT-BMS-035,LlSOC_CmltChgCp_Ah
FT-BMS-035,LlSOC_CmltChgCp_Ah
FT-BMS-035,LlSOC_CmltChgCpRaw_Ah
FT-BMS-035,KlSOC_CmltChgCpMaxLim_Ah
