id,parameter
SFT-BMS-009,VlPWRCTL_DchgP_W
SFT-BMS-009,LuPWRCTL_SysMinVol_mV
SFT-BMS-009,LuPWRCTL_SysMinVol_Mv
SFT-BMS-009,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-009,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-009,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-009,KsPWRCTL_ChgMaxT_deg
SFT-BMS-009,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-009,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-010,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-010,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-010,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-010,VePWRCTL_CutPwrPercent_enum
SFT-BMS-010,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-010,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-010,LsPWRCTL_BattSOC_pct
SFT-BMS-010,LfPWRCTL_SOH_pct
SFT-BMS-010,LfPWRCTL_BMSSysI_A
SFT-BMS-010,VlPWRCTL_DchgP_W
SFT-BMS-010,LuPWRCTL_SysMinVol_mV
SFT-BMS-010,LuPWRCTL_SysMinVol_Mv
SFT-BMS-010,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-010,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-010,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-010,KsPWRCTL_ChgMaxT_deg
SFT-BMS-010,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-010,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-011,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-011,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-011,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-011,VePWRCTL_CutPwrPercent_enum
SFT-BMS-011,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-011,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-011,LsPWRCTL_BattSOC_pct
SFT-BMS-011,LfPWRCTL_SOH_pct
SFT-BMS-011,LfPWRCTL_BMSSysI_A
SFT-BMS-011,VlPWRCTL_DchgP_W
SFT-BMS-011,LuPWRCTL_SysMinVol_mV
SFT-BMS-011,LuPWRCTL_SysMinVol_Mv
SFT-BMS-011,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-011,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-011,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-011,KsPWRCTL_ChgMaxT_deg
SFT-BMS-011,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-011,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-012,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-012,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-012,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-012,VePWRCTL_CutPwrPercent_enum
SFT-BMS-012,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-012,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-012,LsPWRCTL_BattSOC_pct
SFT-BMS-012,LfPWRCTL_SOH_pct
SFT-BMS-012,LfPWRCTL_BMSSysI_A
SFT-BMS-012,VlPWRCTL_DchgP_W
SFT-BMS-012,LuPWRCTL_SysMinVol_mV
SFT-BMS-012,LuPWRCTL_SysMinVol_Mv
SFT-BMS-012,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-012,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-012,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-012,KsPWRCTL_ChgMaxT_deg
SFT-BMS-012,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-012,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-013,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-013,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-013,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-013,VePWRCTL_CutPwrPercent_enum
SFT-BMS-013,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-013,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-013,LsPWRCTL_BattSOC_pct
SFT-BMS-013,LfPWRCTL_SOH_pct
SFT-BMS-013,LfPWRCTL_BMSSysI_A
SFT-BMS-013,VlPWRCTL_DchgP_W
SFT-BMS-013,LuPWRCTL_SysMinVol_mV
SFT-BMS-013,LuPWRCTL_SysMinVol_Mv
SFT-BMS-013,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-013,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-013,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-013,KsPWRCTL_ChgMaxT_deg
SFT-BMS-013,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-013,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-014,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-014,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-014,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-014,VePWRCTL_CutPwrPercent_enum
SFT-BMS-014,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-014,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-014,LsPWRCTL_BattSOC_pct
SFT-BMS-014,LfPWRCTL_SOH_pct
SFT-BMS-014,LfPWRCTL_BMSSysI_A
SFT-BMS-014,VlPWRCTL_DchgP_W
SFT-BMS-014,LuPWRCTL_SysMinVol_mV
SFT-BMS-014,LuPWRCTL_SysMinVol_Mv
SFT-BMS-014,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-014,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-014,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-014,KsPWRCTL_ChgMaxT_deg
SFT-BMS-014,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-014,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-015,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-015,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-015,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-015,VePWRCTL_CutPwrPercent_enum
SFT-BMS-015,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-015,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-015,LsPWRCTL_BattSOC_pct
SFT-BMS-015,LfPWRCTL_SOH_pct
SFT-BMS-015,LfPWRCTL_BMSSysI_A
SFT-BMS-015,VlPWRCTL_DchgP_W
SFT-BMS-015,LuPWRCTL_SysMinVol_mV
SFT-BMS-015,LuPWRCTL_SysMinVol_Mv
SFT-BMS-015,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-015,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-015,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-015,KsPWRCTL_ChgMaxT_deg
SFT-BMS-015,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-015,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-016,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-016,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-016,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-016,VePWRCTL_CutPwrPercent_enum
SFT-BMS-016,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-016,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-016,LsPWRCTL_BattSOC_pct
SFT-BMS-016,LfPWRCTL_SOH_pct
SFT-BMS-016,LfPWRCTL_BMSSysI_A
SFT-BMS-016,VlPWRCTL_DchgP_W
SFT-BMS-016,LuPWRCTL_SysMinVol_mV
SFT-BMS-016,LuPWRCTL_SysMinVol_Mv
